Name,Age,Height_in_cms,Weight_in_kg,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,CF,RW,CAM,CM,RM,CDM,RWB,CB,RB,OVA
T. Hübers,23,190.5,81.45,CB,241,250,289,291,265,207,61,53,53,52,54,57,55,64,61,68,63,68
Arthur,23,170.18,72.45,CM,352,396,387,366,382,225,55,75,80,80,83,84,80,81,78,74,76,84
Yun Suk Young,30,182.88,73.35000000000001,LB,299,299,359,339,313,192,58,64,64,64,64,63,65,64,65,65,65,67
P. Netzer,34,187.96,79.2,CB,271,256,236,284,270,196,45,54,53,51,55,59,53,63,58,65,59,65
A. Sánchez,23,167.64000000000001,69.3,CDM,218,231,372,246,264,160,42,51,54,56,56,57,58,60,60,57,59,61
Bruno,35,182.88,72.45,CM,319,379,231,308,374,226,51,67,70,66,72,74,66,74,65,72,65,76
Iñaki Álvarez,23,182.88,75.60000000000001,GK,57,71,161,186,84,34,320,19,17,15,17,19,17,20,17,19,17,63
N. Balogh,23,198.12,80.55,ST,320,320,299,297,277,81,37,66,66,67,66,60,65,49,50,46,48,67
Borja Sainz,19,177.8,74.25,RM,253,291,363,239,280,105,43,57,62,64,62,58,64,50,54,42,51,65
H. Ziyech,27,180.34,64.35000000000001,CAM,374,425,407,336,363,140,51,77,82,83,84,82,84,70,70,57,66,85
D. Musto,31,182.88,79.2,CDM,267,289,265,355,304,209,57,59,60,59,63,69,61,72,66,71,66,73
M. Vojvoda,25,185.42,80.55,RB,290,327,340,337,302,215,48,62,64,66,66,68,68,70,71,70,71,73
Elady,29,175.26,74.25,ST,333,321,325,334,295,110,46,69,68,68,67,62,67,52,54,49,52,68
F. Mayer,21,190.5,86.4,CB,202,184,236,263,223,194,44,43,40,39,39,42,41,53,52,61,55,62
S. Kersten,22,190.5,78.3,CB,226,234,286,320,219,199,48,51,49,48,50,54,50,63,58,65,60,65
Y. Kalley,19,180.34,62.550000000000004,LB,185,209,327,246,220,152,36,43,46,48,45,45,50,49,53,50,53,55
T. Cairney,29,185.42,83.25,CAM,351,379,354,328,327,176,46,71,74,74,76,75,74,69,67,62,65,76
B. Embolo,23,185.42,85.5,ST,352,340,383,388,336,106,45,78,77,76,75,71,76,60,61,56,59,78
Luis Paezinho,24,182.88,74.25,CB,247,214,297,273,237,203,81,45,43,44,44,47,45,59,57,65,60,65
F. Mesones,25,170.18,69.3,LB,217,225,330,251,226,150,43,45,46,49,47,49,51,53,55,52,55,57
Tete,20,175.26,72.45,CAM,305,315,383,336,252,76,43,67,73,74,74,68,74,54,58,42,53,75
J. Bizama,26,177.8,74.25,CB,256,263,337,326,271,202,47,57,58,60,59,61,62,65,66,67,66,68
F. Wadja,25,185.42,82.35000000000001,CB,262,274,331,341,298,196,42,55,56,57,58,62,61,67,66,68,67,68
Diego Farías,30,172.72,65.7,RW,335,344,417,306,278,102,38,71,74,75,74,66,73,51,56,45,53,71
N. Casale,21,190.5,79.2,CB,187,175,272,274,241,184,57,42,40,40,39,42,42,53,53,60,56,61
Vaná,25,193.04,79.2,GK,94,93,239,186,142,50,369,28,30,29,31,31,30,29,27,28,27,75
O. Skipp,19,177.8,69.3,CDM,252,289,320,286,301,197,41,55,60,60,62,65,62,67,65,64,64,68
R. Balbuena,20,175.26,71.55,RM,275,307,358,300,249,105,52,60,62,64,62,56,63,48,53,43,50,62
K. Iwashita,33,180.34,75.60000000000001,CB,211,173,230,262,213,192,40,43,40,39,41,45,40,56,52,63,54,63
R. Kharchouch,24,187.96,74.25,ST,292,251,309,334,236,65,51,66,63,61,60,53,59,41,43,40,41,66
T. Kehinde,22,177.8,74.25,RM,266,285,363,314,279,103,47,60,62,63,63,61,64,54,55,48,52,65
E. Soleri,19,193.04,74.25,ST,272,240,308,313,226,47,54,62,58,56,54,46,54,35,39,37,37,63
S. Skytte,23,190.5,84.15,CDM,288,296,303,356,311,185,45,64,64,62,64,65,63,66,62,66,62,65
E. Kaja,21,177.8,77.4,RM,250,258,339,303,255,142,68,54,56,59,57,54,59,52,55,51,54,58
M. Bauer,20,187.96,83.25,CB,199,174,278,269,200,187,58,41,38,38,38,44,41,54,53,61,56,61
B. Baggley,18,170.18,64.35000000000001,CAM,207,245,310,222,223,133,49,48,51,51,52,51,51,48,47,45,47,51
Kaíqundo Calado,24,182.88,76.5,RB,290,297,371,324,322,216,55,65,67,68,67,67,70,70,73,72,73,75
Alexis,33,182.88,74.25,CB,251,256,284,308,277,201,60,52,50,50,51,56,53,65,62,68,63,69
D. Miloc,29,177.8,73.35000000000001,CDM,257,282,328,347,302,200,57,58,61,61,63,67,64,69,67,67,67,67
V. Misidjan,26,172.72,69.3,RM,306,337,410,306,274,75,44,67,70,72,70,62,71,49,54,42,50,72
A. Öztürk,26,190.5,79.2,CB,225,249,254,357,223,193,47,50,48,46,49,54,47,61,56,64,58,65
K. Ayhan,25,182.88,83.25,CB,291,363,334,381,318,224,58,62,64,64,65,69,65,74,72,75,72,75
A. Annan,31,175.26,63.45,RB,260,276,378,326,297,197,45,56,57,58,58,59,60,64,65,64,65,65
T. Rowe,31,180.34,80.55,LWB,289,291,352,324,304,195,71,62,64,65,64,65,66,66,68,64,68,70
M. Bułka,20,198.12,89.10000000000001,GK,63,74,181,187,100,39,317,22,21,19,23,23,21,24,20,23,19,64
D. Kamada,23,180.34,71.55,CAM,334,370,385,336,303,106,44,72,76,76,76,70,76,56,59,47,55,76
D. Drogba,38,187.96,79.2,ST,370,376,327,388,363,83,49,79,76,73,73,68,72,55,55,53,53,81
Enaldo Praz,36,177.8,72.45,LB,297,290,350,319,321,226,47,59,62,64,64,68,66,72,72,72,73,75
R. Pereyra,29,182.88,76.5,LM,358,388,377,339,360,184,24,73,76,77,77,75,76,70,71,66,69,77
M. Bejarano,32,172.72,69.3,LB,234,247,344,287,222,203,63,49,50,53,51,56,57,64,67,64,67,69
M. Morozyuk,32,175.26,70.65,RB,315,351,392,317,282,214,49,60,66,68,69,71,70,70,74,63,72,74
F. Kaufmann,27,180.34,71.55,RM,287,304,394,352,299,157,46,64,66,68,65,63,69,61,67,58,65,70
N. Kijewski,24,175.26,73.35000000000001,LWB,242,309,358,323,261,189,37,53,56,59,58,61,62,64,67,63,66,68
R. Sykes,21,195.57999999999998,72.45,CB,200,207,274,291,237,192,57,46,44,43,45,51,46,61,56,65,58,65
D. Palacios,20,170.18,64.35000000000001,LWB,236,257,371,268,282,204,42,52,58,62,60,62,65,66,69,64,68,70
D. Schmid,19,180.34,69.3,CM,248,349,320,305,257,131,45,54,58,58,61,63,62,57,57,50,55,62
L. Hakim,18,170.18,64.35000000000001,CAM,276,298,346,283,202,45,48,56,57,59,57,50,57,36,40,30,37,56
B. Kieliba,29,187.96,85.5,CB,201,174,263,270,244,180,58,42,39,37,40,48,41,59,53,62,56,62
P. Karlsson,34,182.88,80.55,CB,219,206,327,319,258,220,63,50,47,47,47,52,49,64,62,71,65,71
E. Zavaleta,27,185.42,83.25,CB,263,247,270,348,288,189,62,58,57,53,56,59,55,63,58,65,59,65
B. Mendy,25,185.42,84.15,LWB,309,350,372,369,352,236,47,69,73,74,74,75,76,77,80,77,79,81
A. McGeady,34,177.8,70.65,CAM,334,363,367,311,329,111,50,68,70,71,71,67,69,57,57,52,55,70
D. Ragatzu,28,172.72,67.5,ST,277,312,382,283,245,78,49,62,63,63,62,54,61,43,48,38,45,62
P. Rodríguez,30,170.18,59.4,LW,308,350,379,265,271,76,52,62,67,69,68,61,67,47,51,38,48,69
D. Fernández,19,180.34,73.35000000000001,CB,206,212,327,291,245,189,43,47,46,47,47,50,50,59,59,63,61,63
S. Moutoussamy,23,175.26,71.55,CAM,311,320,363,281,292,208,42,63,67,69,70,70,70,68,69,63,68,70
I. Cameron,19,190.5,77.4,ST,266,254,287,295,276,134,52,58,57,57,57,55,56,53,50,54,50,57
B. Fomba,20,185.42,74.25,CB,151,116,298,291,197,170,55,37,35,34,36,41,37,51,49,57,52,57
F. Bustos B,24,167.64000000000001,65.7,RM,311,321,400,331,336,211,54,70,73,75,73,73,76,72,75,69,74,76
R. Cronvall,18,175.26,64.35000000000001,ST,225,202,326,270,203,45,51,54,52,51,49,43,49,33,36,30,35,54
C. Salomón,20,182.88,67.5,CB,190,184,264,242,192,160,48,40,39,40,41,44,43,51,49,53,50,53
J. Breitenbach,22,182.88,69.3,RB,201,222,364,232,233,169,55,46,51,54,52,50,55,54,59,55,59,61
J. Wilson,24,182.88,72.45,ST,291,277,346,309,245,67,62,63,62,61,61,55,61,43,46,39,44,63
Y. Verschaeren,18,172.72,62.550000000000004,CAM,305,369,382,316,281,114,50,65,70,72,72,68,71,56,58,45,54,72
R. Montolivo,33,180.34,75.60000000000001,CM,340,405,318,353,350,218,19,66,71,71,75,78,72,77,72,72,71,78
L. Jacot,19,190.5,84.15,GK,51,70,131,161,81,31,277,18,16,14,16,18,16,19,15,19,16,55
A. Jaakkola,33,193.04,87.3,GK,83,82,258,230,156,40,329,27,28,27,31,31,29,30,27,28,27,67
V. Dragomir,20,177.8,66.60000000000001,LM,318,333,362,330,301,165,53,66,67,67,67,66,68,61,64,58,63,67
C. Forsyth,31,187.96,82.35000000000001,LB,312,306,292,340,295,210,46,63,63,63,62,64,64,66,68,68,68,70
B. Alemán,30,175.26,78.3,CAM,338,376,349,364,356,195,44,70,71,71,72,72,71,70,69,68,68,72
O. Cissé,29,195.57999999999998,84.15,CB,256,259,222,344,285,178,46,56,54,52,55,59,55,63,58,65,58,64
M. Isla,32,175.26,74.25,RB,310,362,390,345,355,221,36,64,69,71,71,72,72,74,75,71,74,76
Moi Delgado,26,172.72,65.7,LWB,231,282,378,294,265,184,48,52,55,58,56,57,61,61,66,61,65,67
J. Laursen,25,180.34,75.60000000000001,LWB,264,281,350,301,283,200,63,59,62,64,62,62,66,64,67,64,66,68
A. Stewart,27,182.88,75.60000000000001,CB,199,197,305,265,247,201,54,43,43,45,46,50,48,61,59,67,61,67
I. Akinfeev,34,185.42,77.4,GK,83,91,270,241,121,44,393,30,30,29,31,29,30,27,27,27,27,80
Cani,34,180.34,74.25,CAM,335,362,320,337,322,131,51,69,72,72,72,69,71,59,60,52,56,73
D. Levitt,19,180.34,73.35000000000001,CAM,271,301,339,292,303,150,43,58,62,62,63,63,62,60,59,54,57,63
P. Adorno,24,182.88,79.2,CB,219,190,232,267,214,188,55,44,42,42,42,46,43,56,54,64,56,64
A. Struna,29,187.96,83.25,CB,250,278,300,372,269,204,41,53,53,54,55,59,57,65,65,69,65,69
N. Camacho,32,175.26,67.5,CAM,318,350,393,311,315,115,56,69,74,74,74,69,72,56,58,48,56,74
A. Jędrzejczyk,32,187.96,77.4,CB,300,271,332,348,282,206,54,60,58,59,58,61,62,68,68,72,69,72
E. Kachunga,28,177.8,73.35000000000001,RM,336,299,366,362,294,129,47,70,69,69,68,64,69,55,58,54,56,70
C. O'Keeffe,22,182.88,69.3,RWB,266,290,323,316,259,172,40,57,57,58,57,57,59,59,60,58,60,62
M. Mancosu,34,182.88,76.5,ST,296,259,327,326,263,60,51,63,62,61,59,51,58,40,43,39,41,64
H. White B,25,185.42,67.5,RB,243,232,360,296,253,176,56,54,55,57,55,54,58,57,61,59,61,63
M. Abdulrahman,31,172.72,59.4,CAM,308,334,362,284,317,154,49,62,65,67,67,66,67,62,62,57,60,66
P. Burner,24,170.18,64.35000000000001,RWB,315,313,365,336,302,218,59,65,66,68,67,68,69,69,72,69,71,73
O. Clarke,28,180.34,76.5,CDM,291,305,324,370,310,189,50,62,62,61,62,65,63,67,66,66,65,65
T. Nakagawa,27,160.02,56.7,RW,298,326,422,328,296,138,54,66,71,73,71,66,71,55,60,47,58,72
Javi Castellano,32,182.88,73.35000000000001,CDM,252,261,261,288,286,201,57,51,52,52,56,62,55,67,62,67,62,68
B. Clarke,32,170.18,63.45,ST,289,268,367,349,294,106,52,63,63,63,62,55,60,47,49,48,47,63
D. Ryan,20,182.88,74.25,CB,196,204,294,272,214,176,42,44,43,43,44,46,45,54,53,59,55,59
H. Choudhury,22,177.8,63.45,CB,259,294,349,318,321,234,52,58,60,60,62,65,62,73,69,75,71,74
R. Schoofs,26,177.8,68.4,CM,310,363,343,331,328,181,49,65,69,69,70,71,69,67,66,62,65,71
Paulo Otávio,25,175.26,67.5,LWB,288,314,409,297,289,208,49,61,67,70,68,66,70,67,72,63,71,73
A. Baroja,30,182.88,80.55,GK,85,99,237,224,150,52,324,29,30,28,32,33,30,30,28,27,27,66
M. Pato,27,177.8,69.3,ST,271,247,352,292,239,55,52,61,61,60,59,51,58,39,42,35,40,61
R. Zuijderwijk,19,175.26,64.35000000000001,CAM,266,307,328,252,224,124,56,55,58,58,59,55,58,47,49,43,48,59
L. Daneels,22,172.72,73.35000000000001,RM,273,297,359,272,255,78,53,60,62,63,61,56,62,45,48,39,45,63
S. Omeonga,24,177.8,71.55,CAM,245,294,367,272,294,187,37,55,61,64,64,63,64,63,63,62,62,63
B. Hussein,20,175.26,69.3,CAM,275,292,333,309,279,163,46,59,63,64,65,65,65,61,60,56,59,65
L. Allan,21,187.96,69.3,ST,226,198,300,270,207,51,56,52,51,50,49,43,49,33,37,32,36,53
P. Gallese,30,187.96,78.3,GK,110,94,261,201,146,61,354,32,33,31,33,33,32,30,30,29,30,73
C. Ibargüen,23,180.34,78.3,ST,284,291,318,363,305,77,60,67,66,63,63,56,61,46,46,45,44,68
S. Jovetić,30,182.88,78.3,CF,382,380,351,346,317,93,40,77,78,77,78,71,75,55,56,49,53,77
S. Bouzian,19,182.88,78.3,GK,64,67,161,183,79,31,298,19,18,17,18,19,18,19,18,19,18,59
Andy,30,185.42,78.3,CDM,284,347,291,337,327,190,64,60,62,62,64,68,64,67,64,62,63,68
A. Koiki,20,187.96,80.55,LB,272,254,340,300,268,166,47,58,58,59,57,55,59,56,60,57,60,62
J. Lolley,27,177.8,71.55,RM,319,357,403,336,305,146,64,68,72,74,73,69,74,60,65,53,62,75
S. Lobotka,25,170.18,63.45,CM,304,359,355,350,330,213,60,66,72,73,75,78,74,75,74,68,72,78
E. Orzuza,30,172.72,72.45,CM,226,247,297,299,260,143,43,52,55,54,57,59,55,58,55,54,54,59
A. Gogia,28,177.8,72.45,RW,305,345,378,339,262,76,58,65,68,69,68,62,69,49,53,40,48,69
Juanfran,33,180.34,70.65,RB,320,358,376,343,360,236,57,68,72,73,72,74,75,77,79,76,78,80
E. Room,31,187.96,80.55,GK,106,110,257,233,148,47,368,30,32,30,35,36,33,33,29,28,28,75
J. Moreno,20,193.04,83.25,GK,75,79,161,199,101,48,279,24,22,19,23,25,21,27,22,27,22,56
M. Prezioso,23,177.8,66.60000000000001,CM,258,273,313,277,275,154,50,55,57,56,58,59,58,56,56,53,55,60
M. Beier,17,182.88,69.3,ST,263,228,309,252,234,60,41,60,59,56,56,49,54,37,39,33,37,60
T. Deters,24,172.72,61.65,CM,207,219,345,276,252,145,54,48,51,52,53,55,54,55,54,51,53,55
D. Salazar,28,167.64000000000001,68.4,ST,289,212,316,330,215,62,57,62,58,57,55,49,55,38,43,37,42,62
D. Bilyaletdinov,31,185.42,76.5,CAM,333,348,302,354,295,128,54,67,68,67,68,66,67,57,56,52,54,69
D. Melo,26,177.8,75.60000000000001,GK,110,112,237,195,142,47,319,28,32,31,35,36,33,33,30,28,29,65
S. Kroon,27,182.88,72.45,RM,267,296,385,299,273,105,55,61,64,65,64,58,64,51,54,46,51,65
A. Argachá,33,177.8,74.25,LB,281,309,321,298,267,189,46,57,59,62,59,59,62,61,66,61,66,68
T. Davies,22,180.34,69.3,CM,312,352,345,331,345,209,56,68,72,71,73,75,73,74,71,70,70,75
R. Murray,28,170.18,69.3,RM,264,288,370,331,251,65,44,59,59,60,58,53,60,42,46,38,44,59
R. Jaadi,23,182.88,68.4,RW,288,319,350,325,241,111,64,60,62,64,63,59,64,50,53,45,51,64
D. Whitehall,24,185.42,73.35000000000001,ST,277,238,297,314,264,71,44,58,56,56,54,49,56,43,45,41,43,58
Moncayola,22,182.88,72.45,CM,308,322,342,324,330,212,50,66,69,69,71,73,70,73,71,68,70,74
P. Lasogga,26,187.96,87.3,ST,314,293,252,376,327,102,46,72,65,60,60,55,57,48,45,53,45,73
Leandro Silva,21,175.26,66.60000000000001,CAM,286,317,353,275,223,69,50,60,63,64,63,56,63,42,48,34,44,64
B. Pavard,24,185.42,75.60000000000001,CB,350,338,349,364,332,241,53,66,67,68,69,73,71,79,78,80,79,81
Edi Semedo,21,180.34,65.7,RM,258,277,372,235,194,66,60,57,61,64,61,53,63,41,48,34,45,64
E. Kalinski,33,182.88,85.5,CDM,304,358,310,367,329,208,50,64,67,66,69,73,69,73,70,72,70,74
Y. Kobayashi,19,185.42,74.25,CB,236,247,284,264,239,178,46,49,49,49,51,54,50,59,56,60,57,60
B. Traoré,18,182.88,66.60000000000001,CDM,241,280,292,251,264,179,59,51,53,53,55,58,55,59,56,58,56,58
A. Vogler,17,180.34,74.25,CAM,214,226,299,258,222,122,50,47,48,48,50,50,49,48,47,46,46,50
A. Sejdič,23,177.8,71.55,CAM,250,275,306,285,259,138,44,53,55,56,57,56,56,53,53,50,52,57
R. Lod,27,180.34,81.45,LM,329,347,353,341,296,155,53,69,70,70,70,68,69,61,62,57,60,70
O. Ba,24,193.04,83.25,CB,210,204,307,302,247,204,60,46,44,44,44,49,47,61,59,69,62,69
Famana Quizera,18,170.18,64.35000000000001,CAM,271,316,337,257,255,113,51,57,61,62,62,59,62,50,52,43,49,62
K. Holzweiler,25,165.1,59.4,CAM,264,292,424,290,225,72,33,59,64,66,64,57,64,44,50,34,47,65
J. Martínez,17,172.72,62.550000000000004,CDM,198,223,288,244,214,160,48,46,47,46,48,50,48,53,51,53,52,54
A. Aktaş,20,177.8,69.3,CAM,249,278,291,246,235,133,48,52,54,53,55,54,55,49,49,45,48,55
Mingotes,24,185.42,79.2,CB,229,232,297,290,273,199,62,51,51,51,50,51,52,59,60,66,62,64
A. Claude-Maurice,22,175.26,63.45,CAM,308,348,417,350,284,129,68,70,74,75,75,70,74,59,63,51,60,75
C. Burgess,27,195.57999999999998,83.25,CB,199,222,259,296,230,194,43,44,44,43,45,51,47,61,56,65,58,66
J. Bellingham,17,180.34,71.55,CAM,297,314,370,322,305,161,48,66,70,70,70,69,70,64,65,58,63,69
Mora,37,182.88,72.45,CM,287,367,270,310,342,187,60,58,61,61,66,70,62,69,62,62,60,70
S. Sidibe,19,172.72,69.3,LM,272,287,355,260,219,95,41,58,60,61,59,52,60,42,47,38,45,61
M. Diallo,25,177.8,71.55,ST,257,259,338,278,208,55,45,58,58,57,57,50,55,37,39,33,37,58
H. El-Helwe,25,187.96,77.4,CAM,285,309,348,313,232,100,56,63,64,65,63,57,63,47,50,43,48,63
U. Đurđević,26,180.34,79.2,ST,306,292,359,357,309,69,49,69,67,65,65,59,64,50,49,46,47,69
Y. Abdelhamid,32,190.5,82.35000000000001,CB,228,298,222,325,283,234,60,53,54,50,56,65,55,75,66,77,67,77
C. Harkin,24,180.34,74.25,RM,266,290,318,311,274,160,59,57,59,59,59,59,60,58,59,56,58,59
Fernandão,31,193.04,87.3,ST,325,284,242,342,319,66,52,72,67,61,64,59,59,49,43,48,42,73
K. Lafferty,32,193.04,87.3,ST,319,302,296,349,303,96,51,66,64,63,62,57,62,49,49,48,48,66
V. Odjidja-Ofoe,31,182.88,78.3,CM,369,370,318,377,362,205,59,72,73,73,74,76,74,74,73,71,71,76
L. Paredes,26,180.34,74.25,CM,347,396,359,383,386,232,48,73,76,75,77,79,76,79,77,76,76,79
Riqui Puig,20,170.18,55.35,CAM,308,360,374,301,317,167,62,65,71,72,75,75,73,69,66,60,63,75
M. López,20,175.26,66.60000000000001,LB,274,283,348,284,279,172,37,55,56,58,57,58,60,59,61,59,61,63
L. Canotto,26,177.8,70.65,RM,283,275,329,266,276,115,47,61,63,64,63,59,64,51,53,45,50,65
M. Langerak,31,193.04,77.4,GK,102,95,196,185,115,46,334,25,27,25,29,29,27,27,26,24,25,70
A. Beiranvand,27,193.04,80.55,GK,64,76,212,229,102,50,355,26,24,23,24,26,24,27,25,28,25,73
Y. Mutō,27,177.8,71.55,RW,355,316,375,331,295,106,59,72,73,73,72,65,72,54,57,50,55,72
M. Philipp,24,182.88,78.3,ST,358,361,399,356,319,126,49,77,79,79,79,72,77,60,62,53,59,78
M. Rusike,30,180.34,76.5,RW,299,278,347,321,265,61,56,64,64,65,63,57,63,45,47,39,44,64
M. Gatto,21,182.88,73.35000000000001,RM,267,316,332,287,217,66,45,57,60,61,60,57,62,44,47,35,43,61
B. Watson,34,180.34,79.2,CDM,324,341,272,334,343,203,47,62,63,62,64,67,63,69,65,67,64,70
S. Naismith,32,177.8,71.55,ST,350,329,345,381,376,176,56,71,71,70,71,71,70,69,66,68,66,72
M. Pettersen,21,190.5,84.15,GK,56,63,176,185,76,35,304,20,19,17,19,20,18,19,17,20,17,61
S. Pérez,27,175.26,71.55,CM,237,278,290,280,300,167,60,59,65,64,68,69,64,65,61,56,59,69
K. Askildsen,19,190.5,76.5,CM,242,270,299,269,247,165,46,51,54,54,56,57,56,57,57,55,57,57
